City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,78.24,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
5,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
10,Axim,GH,79.83,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
13,Grand-Santi,GF,85.06,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
17,Rikitea,PF,74.16,moderate rain,-23.1203,-134.9692,People ThankYou
18,Ancud,CL,71.13,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
24,Cidreira,BR,71.71,few clouds,-30.1811,-50.2056,Hotel Castelo
27,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
28,Savannah Bight,HN,84.25,broken clouds,16.45,-85.85,Villa on Dunbar Rock
31,Sakakah,SA,81.97,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
35,Loandjili,CG,80.71,few clouds,-4.7561,11.8578,Résidence ARCHANGE
40,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
42,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Cabo San Lucas,MX,87.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
48,Harper,LR,79.59,broken clouds,4.375,-7.7169,Screensaver
49,Fare,PF,78.24,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
58,Kaohsiung,TW,76.03,scattered clouds,22.6163,120.3133,御宿商旅-中山館
59,Kavaratti,IN,81.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
60,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
62,Hithadhoo,MV,82.4,overcast clouds,-0.6,73.0833,Scoop Guest House
66,Bengkulu,ID,76.21,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
74,Anloga,GH,81.93,light rain,5.7947,0.8973,Pin Drop Hotel
77,Lodja,CD,74.12,overcast clouds,-3.4833,23.4333,
78,Chuy,UY,74.7,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
79,Kavieng,PG,82.44,light rain,-2.5744,150.7967,Nusa Island Retreat
80,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
82,Hirara,JP,76.39,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
84,Sechura,PE,78.85,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
85,Vilhena,BR,71.82,thunderstorm with light rain,-12.7406,-60.1458,Hotel Mirage
86,Karachi,PK,75.02,broken clouds,24.9056,67.0822,Sadaat
91,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
92,Garowe,SO,77.34,scattered clouds,8.4054,48.4845,Curubo Hotel
93,Acari,PE,78.69,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
96,Natal,BR,84.85,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
97,Kindu,CD,70.88,light rain,-2.95,25.95,Résidence Okanda
98,Hambantota,LK,79.29,scattered clouds,6.1241,81.1185,Bungalow 63
99,Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
101,Kudahuvadhoo,MV,83.17,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
103,Krabi,TH,81.99,few clouds,8.0726,98.9105,Tharapark View Hotel
105,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
109,Cuamba,MZ,85.39,scattered clouds,-14.8031,36.5372,Hotel Vision
110,Balikpapan,ID,75.96,broken clouds,-1.2675,116.8289,ibis Balikpapan
111,Wattegama,LK,74.89,broken clouds,6.7989,81.4808,
115,Saint George,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
120,Beloha,MG,72.93,light rain,-25.1667,45.05,
126,Georgetown,MY,79.9,light rain,5.4112,100.3354,Cititel Penang
128,Gidam,IN,71.37,scattered clouds,18.9833,81.4,Dhanshree Lodge And DormItory
130,Fatehpur,IN,70.59,clear sky,25.9333,80.8,Hotel Bombay Lodge
134,Atuona,PF,79.45,broken clouds,-9.8,-139.0333,Villa Enata
136,Butaritari,KI,80.8,light rain,3.0707,172.7902,Isles Sunset Lodge
140,Kanniyakumari,IN,79.77,very heavy rain,8.0833,77.5667,Sparsa
141,Buraydah,SA,77.45,clear sky,26.326,43.975,فندق راحة السلام
142,Isla Mujeres,MX,86.16,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
144,Cayenne,GF,87.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
145,Itarema,BR,85.44,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
153,Tarakan,ID,76.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
162,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
164,Sao Filipe,CV,80.71,overcast clouds,14.8961,-24.4956,Hotel Xaguate
167,Gamba,GA,76.33,overcast clouds,-2.65,10.0,
168,Victoria,HK,76.32,light rain,22.2855,114.1577,Mini Hotel Central
