City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,51.04,83,89,16.33,overcast clouds
1,Hilo,US,19.7297,-155.09,78.24,73,1,5.75,clear sky
2,Albany,US,42.6001,-73.9662,61.16,78,93,11.83,overcast clouds
3,Carnarvon,AU,-24.8667,113.6333,68.07,68,90,20.71,overcast clouds
4,Karlskrona,SE,56.1616,15.5866,50.45,95,98,9.37,overcast clouds
5,Pochutla,MX,15.7432,-96.4661,85.82,57,57,5.37,broken clouds
6,Roald,NO,62.5833,6.1333,48.09,76,0,5.75,clear sky
7,Fortuna,US,40.5982,-124.1573,62.92,73,1,1.01,clear sky
8,Yashiro,JP,34.9167,134.9667,59.94,87,28,3.94,scattered clouds
9,Cape Town,ZA,-33.9258,18.4232,66.09,69,20,5.75,few clouds
10,Axim,GH,4.8699,-2.2405,79.83,83,99,10.11,light rain
11,Gobabis,NA,-22.45,18.9667,80.29,6,0,9.89,clear sky
12,Kumluca,TR,36.3703,30.2869,66.43,71,100,3.94,overcast clouds
13,Grand-Santi,GF,4.25,-54.3833,85.06,65,69,1.48,broken clouds
14,Chokurdakh,RU,70.6333,147.9167,-12.3,100,100,5.61,overcast clouds
15,Jamestown,US,42.097,-79.2353,54.01,91,90,3.0,overcast clouds
16,Dikson,RU,73.5069,80.5464,6.75,94,97,10.29,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,74.16,87,93,13.4,moderate rain
18,Ancud,CL,-41.8697,-73.8203,71.13,41,24,4.05,few clouds
19,Norman Wells,CA,65.282,-126.8329,15.84,92,75,3.44,broken clouds
20,Aksu,CN,41.1231,80.2644,46.98,41,6,4.72,clear sky
21,Port Alfred,ZA,-33.5906,26.891,67.28,86,72,18.1,broken clouds
22,Bredasdorp,ZA,-34.5322,20.0403,60.28,81,89,5.57,overcast clouds
23,Tommot,RU,58.9564,126.2925,25.88,92,100,2.59,overcast clouds
24,Cidreira,BR,-30.1811,-50.2056,71.71,79,17,21.79,few clouds
25,Zeya,RU,53.75,127.2667,24.12,51,42,3.06,scattered clouds
26,Punta Arenas,CL,-53.15,-70.9167,53.71,50,0,9.22,clear sky
27,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,28,7.65,scattered clouds
28,Savannah Bight,HN,16.45,-85.85,84.25,71,76,6.91,broken clouds
29,Ushuaia,AR,-54.8,-68.3,56.86,41,0,0.0,clear sky
30,Nikolskoye,RU,59.7035,30.7861,47.88,83,61,8.52,broken clouds
31,Sakakah,SA,29.9697,40.2064,81.97,23,100,8.93,overcast clouds
32,Lashio,MM,22.9333,97.75,62.46,98,5,0.56,clear sky
33,Lebu,CL,-37.6167,-73.65,58.78,75,100,8.88,overcast clouds
34,Yellowknife,CA,62.456,-114.3525,30.42,100,75,8.05,light snow
35,Loandjili,CG,-4.7561,11.8578,80.71,78,20,5.75,few clouds
36,Mildura,AU,-34.2,142.15,58.96,38,98,5.75,overcast clouds
37,Saint-Augustin,CA,51.226,-58.6502,49.8,56,80,6.64,broken clouds
38,Airai,TL,-8.9266,125.4092,60.82,88,94,2.04,overcast clouds
39,Cherskiy,RU,68.75,161.3,-0.6,98,100,4.94,overcast clouds
40,Salalah,OM,17.0151,54.0924,78.89,47,0,3.44,clear sky
41,Tiksi,RU,71.6872,128.8694,15.75,84,100,12.8,overcast clouds
42,Kapaa,US,22.0752,-159.319,75.18,92,1,5.75,clear sky
43,Kodiak,US,57.79,-152.4072,45.91,87,90,16.11,light rain
44,East London,ZA,-33.0153,27.9116,67.14,82,75,11.5,broken clouds
45,Cabo San Lucas,MX,22.8909,-109.9124,87.62,63,9,1.99,clear sky
46,Sistranda,NO,63.7256,8.834,49.89,83,66,9.57,broken clouds
47,Hamilton,US,39.1834,-84.5333,62.04,73,90,1.01,overcast clouds
48,Harper,LR,4.375,-7.7169,79.59,82,77,9.01,broken clouds
49,Fare,PF,-16.7,-151.0167,78.24,73,71,15.66,light rain
50,Labytnangi,RU,66.6572,66.4183,1.36,85,23,5.46,few clouds
51,Lykhivka,UA,48.6874,33.9228,46.72,56,0,8.14,clear sky
52,Castro,BR,-24.7911,-50.0119,60.76,96,100,6.67,overcast clouds
53,Bereda,ES,43.2686,-7.5406,57.42,94,100,5.99,overcast clouds
54,Nanortalik,GL,60.1432,-45.2371,34.12,74,57,14.0,broken clouds
55,Manacapuru,BR,-3.2997,-60.6206,93.78,50,100,1.66,overcast clouds
56,Hobart,AU,-42.8794,147.3294,55.26,62,40,3.0,scattered clouds
57,Esperance,AU,-33.8667,121.9,64.92,55,100,16.28,overcast clouds
58,Kaohsiung,TW,22.6163,120.3133,76.03,85,40,2.3,scattered clouds
59,Kavaratti,IN,10.5669,72.642,81.52,81,96,4.7,overcast clouds
60,Avarua,CK,-21.2078,-159.775,73.45,73,40,11.5,scattered clouds
61,Vardo,NO,70.3705,31.1107,37.38,93,75,14.97,broken clouds
62,Hithadhoo,MV,-0.6,73.0833,82.4,78,100,16.73,overcast clouds
63,Barrow,US,71.2906,-156.7887,28.42,86,90,20.71,light snow
64,Hasaki,JP,35.7333,140.8333,57.6,89,100,5.55,overcast clouds
65,New Waterford,US,40.8451,-80.6145,59.25,74,88,13.44,overcast clouds
66,Bengkulu,ID,-3.8004,102.2655,76.21,92,100,4.03,overcast clouds
67,Price,US,39.5994,-110.8107,60.73,50,1,3.44,clear sky
68,Dalvik,IS,65.9702,-18.5286,33.73,99,100,14.0,moderate rain
69,Rybnaya Sloboda,RU,55.4613,50.1409,44.58,81,63,13.33,broken clouds
70,Helena,US,46.5927,-112.0361,35.17,70,90,1.01,overcast clouds
71,Ahipara,NZ,-35.1667,173.1667,55.4,78,95,9.57,overcast clouds
72,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,90,12.66,overcast clouds
73,Mokhsogollokh,RU,61.4681,128.9203,21.54,96,100,3.18,light snow
