City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Filipe,CV,2021-10-30 16:24:15,14.8961,-24.4956,80.82,71,91,11.27
1,Codrington,AU,2021-10-30 16:24:15,-38.2667,141.9667,42.49,92,1,7.34
2,Warud,IN,2021-10-30 16:24:16,21.4667,78.2667,67.75,55,99,5.68
3,Guaruja,BR,2021-10-30 16:24:16,-23.9931,-46.2564,85.6,47,75,1.01
4,San Quintin,MX,2021-10-30 16:24:17,30.4833,-115.95,66.27,79,0,4.79
5,Hermanus,ZA,2021-10-30 16:24:17,-34.4187,19.2345,70.9,74,45,11.7
6,Albany,US,2021-10-30 16:21:46,42.6001,-73.9662,56.39,92,99,7.87
7,Punta Arenas,CL,2021-10-30 16:24:18,-53.15,-70.9167,51.91,40,0,20.71
8,Mutoko,ZW,2021-10-30 16:24:19,-17.397,32.2268,82.38,25,59,9.44
9,Jimeta,NG,2021-10-30 16:24:19,9.2833,12.4667,92.88,31,99,3.91
10,Mataura,NZ,2021-10-30 16:24:20,-46.1927,168.8643,48.96,62,11,5.19
11,Simao,CN,2021-10-30 16:24:20,22.7886,100.9748,59.9,99,21,2.73
12,Eyrarbakki,IS,2021-10-30 16:24:21,63.863,-21.1481,45.64,72,35,10.38
13,Manokwari,ID,2021-10-30 16:24:21,-0.8667,134.0833,78.06,80,86,4.12
14,Bluff,NZ,2021-10-30 16:24:22,-46.6,168.3333,53.2,62,13,18.72
15,Victoria,HK,2021-10-30 16:24:16,22.2855,114.1577,75.25,83,67,8.01
16,San Patricio,US,2021-10-30 16:24:22,28.017,-97.5169,76.05,21,0,5.26
17,Sembe,CG,2021-10-30 16:24:23,1.6481,14.5806,79.9,77,96,1.43
18,Marsh Harbour,BS,2021-10-30 16:24:24,26.5412,-77.0636,80.78,65,70,22.84
19,Vaini,TO,2021-10-30 16:24:24,-21.2,-175.2,71.76,94,20,4.61
20,Khazar,RU,2021-10-30 16:24:24,41.9974,48.3332,55.17,73,91,6.08
21,Khatanga,RU,2021-10-30 16:24:14,71.9667,102.5,2.3,96,100,1.79
22,Leningradskiy,RU,2021-10-30 16:24:25,69.3833,178.4167,-6.92,97,100,6.02
23,Olinda,BR,2021-10-30 16:24:26,-8.0089,-34.8553,83.93,61,40,11.5
24,Saint-Philippe,RE,2021-10-30 16:24:26,-21.3585,55.7679,73.22,81,65,5.14
25,Jamestown,US,2021-10-30 16:21:56,42.097,-79.2353,51.85,95,90,4.0
26,Ape,LV,2021-10-30 16:24:27,57.5393,26.6929,45.72,81,13,8.66
27,New Norfolk,AU,2021-10-30 16:24:27,-42.7826,147.0587,51.93,62,71,3.0
28,Bengkulu,ID,2021-10-30 16:24:27,-3.8004,102.2655,77.79,90,100,4.85
29,Aginskoye,RU,2021-10-30 16:24:28,51.1,114.53,23.76,32,11,3.69
30,Bredasdorp,ZA,2021-10-30 16:24:29,-34.5322,20.0403,69.28,63,26,9.22
31,Bathsheba,BB,2021-10-30 16:24:29,13.2167,-59.5167,88.41,55,20,16.11
32,Waddan,LY,2021-10-30 16:24:30,29.1614,16.139,76.69,27,37,10.51
33,Rikitea,PF,2021-10-30 16:24:30,-23.1203,-134.9692,74.8,83,67,21.07
34,Faanui,PF,2021-10-30 16:24:30,-16.4833,-151.75,78.28,69,12,17.09
